epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7639,0.74752,3.52133,1.48085,0.42158,0.70487,0.62631,0.45965,1.45983,3.71032,2.02729,0.000148693,0.000148693,0.000148693
2,39.3541,0.43459,1.15993,1.22111,0.56856,0.60709,0.74472,0.57418,1.28304,2.4018,1.89739,0.000300286,0.000300286,0.000300286
3,57.3193,0.44468,0.68163,1.23309,0.65297,0.64717,0.71093,0.62422,0.80527,1.87483,1.37246,0.000451585,0.000451585,0.000451585
4,75.165,0.44989,0.57905,1.23568,0.66916,0.78625,0.90054,0.81551,0.66643,1.04192,1.28295,0.000454,0.000454,0.000454
5,93.0465,0.41681,0.49267,1.21265,0.81939,0.68123,0.89391,0.80423,0.68137,1.31295,1.23522,0.000453224,0.000453224,0.000453224
6,111.487,0.41693,0.4392,1.22226,0.75104,0.73111,0.87411,0.85218,0.37343,1.56469,1.13052,0.000452227,0.000452227,0.000452227
7,130.04,0.40567,0.41468,1.19757,0.84246,0.88043,0.93425,0.85894,0.56691,0.6774,1.18372,0.000451011,0.000451011,0.000451011
8,148.919,0.41344,0.38546,1.20495,0.85236,0.79207,0.84146,0.78307,0.53545,0.85968,1.17835,0.000449576,0.000449576,0.000449576
9,168.173,0.37043,0.34759,1.18995,0.88296,0.86652,0.93878,0.90487,0.41679,0.57759,1.13116,0.000447924,0.000447924,0.000447924
10,186.599,0.36648,0.3286,1.1871,0.90681,0.93986,0.97953,0.92694,0.45844,0.41464,1.15874,0.000446057,0.000446057,0.000446057
11,205.644,0.36051,0.31659,1.18781,0.932,0.8966,0.97462,0.92254,0.51589,0.53471,1.20987,0.000443977,0.000443977,0.000443977
12,224.461,0.34608,0.28364,1.17887,0.96111,0.96179,0.995,0.94841,0.44816,0.32738,1.11652,0.000441685,0.000441685,0.000441685
13,243.48,0.33859,0.28643,1.16365,0.98051,0.9949,0.995,0.88981,0.73353,0.30605,1.29404,0.000439184,0.000439184,0.000439184
14,262.452,0.3371,0.2707,1.1725,0.97144,0.95822,0.98293,0.91092,0.53385,0.31418,1.18237,0.000436476,0.000436476,0.000436476
15,280.777,0.34304,0.2591,1.1708,0.97414,0.99764,0.995,0.91273,0.58568,0.25017,1.16447,0.000433565,0.000433565,0.000433565
16,299.697,0.3231,0.25305,1.1624,0.91467,0.98307,0.99023,0.96378,0.37741,0.3247,1.09814,0.000430452,0.000430452,0.000430452
17,318.475,0.33309,0.23116,1.1639,0.98828,0.9908,0.995,0.94052,0.43545,0.24597,1.1116,0.000427141,0.000427141,0.000427141
18,337.104,0.32484,0.23527,1.16025,0.97664,0.95895,0.98793,0.85637,0.85174,0.41485,1.35057,0.000423636,0.000423636,0.000423636
19,355.901,0.30558,0.21169,1.16012,0.8474,0.85313,0.93135,0.91383,0.3396,0.69028,1.09764,0.000419939,0.000419939,0.000419939
20,374.645,0.3107,0.21652,1.16642,0.98281,0.98582,0.995,0.98954,0.29789,0.21888,1.08313,0.000416054,0.000416054,0.000416054
21,393.43,0.29111,0.19254,1.15426,0.9772,0.97493,0.99053,0.94904,0.41053,0.26463,1.11607,0.000411986,0.000411986,0.000411986
22,412.345,0.29539,0.20503,1.15177,0.98597,0.99633,0.995,0.89917,0.63439,0.27167,1.21536,0.000407738,0.000407738,0.000407738
23,430.283,0.29475,0.23666,1.1552,0.96298,0.98441,0.995,0.92629,0.53044,0.2583,1.18841,0.000403314,0.000403314,0.000403314
24,448.304,0.27615,0.21906,1.14048,0.89077,0.939,0.96371,0.93589,0.39377,0.41534,1.10878,0.000398719,0.000398719,0.000398719
25,466.319,0.27426,0.22174,1.14629,0.71932,0.48298,0.54629,0.54062,0.31447,2.74775,1.09271,0.000393957,0.000393957,0.000393957
26,484.366,0.28046,0.18107,1.14352,0.99,0.99292,0.99332,0.97227,0.35232,0.20151,1.07947,0.000389033,0.000389033,0.000389033
27,502.476,0.28387,0.20196,1.13942,0.99257,0.99728,0.995,0.98234,0.33903,0.17543,1.07738,0.000383952,0.000383952,0.000383952
28,520.17,0.27593,0.19234,1.14657,0.96526,0.93064,0.99206,0.98253,0.28599,0.26613,1.07818,0.000378719,0.000378719,0.000378719
29,537.935,0.26524,0.19428,1.13975,0.98914,0.99295,0.99183,0.91477,0.54383,0.2315,1.15559,0.000373339,0.000373339,0.000373339
30,555.749,0.26239,0.21705,1.13528,0.75215,0.79728,0.82035,0.81746,0.26303,1.09105,1.06519,0.000367817,0.000367817,0.000367817
31,573.594,0.25739,0.17806,1.13473,0.98492,0.98337,0.98955,0.97738,0.32278,0.21107,1.0815,0.000362159,0.000362159,0.000362159
32,591.604,0.25262,0.17624,1.13692,0.84956,0.65685,0.74115,0.72788,0.37679,1.30011,1.10328,0.00035637,0.00035637,0.00035637
33,609.441,0.25504,0.1659,1.13659,0.99073,0.99,0.995,0.98006,0.32147,0.18261,1.07223,0.000350457,0.000350457,0.000350457
34,627.251,0.26175,0.16783,1.13388,0.9941,1,0.995,0.99093,0.26428,0.16097,1.06164,0.000344424,0.000344424,0.000344424
35,645.343,0.26297,0.17179,1.1397,0.96379,0.97636,0.97842,0.94639,0.39232,0.23367,1.0869,0.000338278,0.000338278,0.000338278
